Date,Close
Jun-14-2012,1618.40
Jun-13-2012,1618.10
Jun-12-2012,1612.70
Jun-11-2012,1595.50
Jun-08-2012,1590.10
Jun-07-2012,1586.60
Jun-06-2012,1632.80
Jun-05-2012,1615.20
Jun-04-2012,1612.20
Jun-01-2012,1620.50
May-31-2012,1562.60
May-30-2012,1563.40
May-29-2012,1548.60
May-25-2012,1568.80
May-24-2012,1557.30
May-23-2012,1548.10
May-22-2012,1576.30
May-21-2012,1588.40
May-18-2012,1591.60
May-17-2012,1574.50
May-16-2012,1536.20
May-15-2012,1556.80
May-14-2012,1560.60
May-11-2012,1583.60
May-10-2012,1595.10
May-09-2012,1593.70
May-08-2012,1604.00
May-07-2012,1638.60
May-04-2012,1644.70
May-03-2012,1634.20
May-02-2012,1653.40
May-01-2012,1661.70
Apr-30-2012,1663.40
Apr-27-2012,1664.00
Apr-26-2012,1659.60
Apr-25-2012,1641.40
Apr-24-2012,1643.00
Apr-23-2012,1631.90
Apr-20-2012,1642.10
Apr-19-2012,1640.60
Apr-18-2012,1638.80
Apr-17-2012,1650.30
Apr-16-2012,1648.70
Apr-13-2012,1659.10
Apr-12-2012,1679.50
Apr-11-2012,1659.00
Apr-10-2012,1659.50
Apr-09-2012,1642.50
Apr-05-2012,1628.50
Apr-04-2012,1612.30
Apr-03-2012,1670.00
Apr-02-2012,1677.50
Mar-30-2012,1669.30
Mar-29-2012,1652.20
Mar-28-2012,1657.90
Mar-27-2012,1684.80
Mar-26-2012,1685.50
Mar-23-2012,1662.30
Mar-22-2012,1642.30
Mar-21-2012,1650.00
Mar-20-2012,1646.70
Mar-19-2012,1666.90
Mar-16-2012,1655.50
Mar-15-2012,1659.10
Mar-14-2012,1642.50
Mar-13-2012,1693.70
Mar-12-2012,1699.20
Mar-09-2012,1710.90
Mar-08-2012,1698.10
Mar-07-2012,1683.30
Mar-06-2012,1671.40
Mar-05-2012,1703.00
Mar-02-2012,1708.80
Mar-01-2012,1721.10
Feb-29-2012,1709.90
Feb-28-2012,1787.00
Feb-27-2012,1773.60
Feb-24-2012,1775.10
Feb-23-2012,1784.90
Feb-22-2012,1770.00
Feb-21-2012,1757.10
Feb-17-2012,1724.50
Feb-16-2012,1726.80
Feb-15-2012,1726.30
Feb-14-2012,1715.90
Feb-13-2012,1723.00
Feb-10-2012,1723.30
Feb-09-2012,1739.00
Feb-08-2012,1729.30
Feb-07-2012,1746.40
Feb-06-2012,1722.80
Feb-03-2012,1737.90
Feb-02-2012,1756.80
Feb-01-2012,1747.10
Jan-31-2012,1737.80
Jan-30-2012,1731.00
Jan-27-2012,1731.80
Jan-26-2012,1726.30
Jan-25-2012,1699.80
Jan-24-2012,1664.20
Jan-23-2012,1678.00
Jan-20-2012,1663.70
Jan-19-2012,1654.10
Jan-18-2012,1659.50
Jan-17-2012,1655.20
Jan-13-2012,1630.40
Jan-12-2012,1647.30
Jan-11-2012,1639.20
Jan-10-2012,1631.00
Jan-09-2012,1607.50
Jan-06-2012,1616.10
Jan-05-2012,1619.40
Jan-04-2012,1611.90
Jan-03-2012,1599.70
Dec-30-2011,1565.80
Dec-29-2011,1539.90
Dec-28-2011,1562.90
Dec-27-2011,1594.20
Dec-23-2011,1604.70
Dec-22-2011,1608.90
Dec-21-2011,1611.90
Dec-20-2011,1615.60
Dec-19-2011,1594.40
Dec-16-2011,1595.60
Dec-15-2011,1574.60
Dec-14-2011,1584.30
Dec-13-2011,1659.90
Dec-12-2011,1664.20
Dec-09-2011,1712.80
Dec-08-2011,1709.80
Dec-07-2011,1740.90
Dec-06-2011,1727.90
Dec-05-2011,1730.70
Dec-02-2011,1747.00
Dec-01-2011,1735.30
Nov-30-2011,1745.50
Nov-29-2011,1713.40
Nov-28-2011,1710.80
Nov-25-2011,1685.50
Nov-23-2011,1695.70
Nov-22-2011,1702.20
Nov-21-2011,1678.30
Nov-18-2011,1724.70
Nov-17-2011,1719.80
Nov-16-2011,1773.80
Nov-15-2011,1781.70
Nov-14-2011,1777.80
Nov-11-2011,1787.50
Nov-10-2011,1758.90
Nov-09-2011,1790.90
Nov-08-2011,1798.40
Nov-07-2011,1790.30
Nov-04-2011,1755.30
Nov-03-2011,1764.20
Nov-02-2011,1728.70
Nov-01-2011,1711.00
Oct-31-2011,1724.20
Oct-28-2011,1746.20
Oct-27-2011,1746.70
Oct-26-2011,1722.70
Oct-25-2011,1699.60
Oct-24-2011,1651.50
Oct-21-2011,1635.10
Oct-20-2011,1611.90
Oct-19-2011,1646.00
Oct-18-2011,1651.70
Oct-17-2011,1675.50
Oct-14-2011,1681.80
Oct-13-2011,1667.30
Oct-12-2011,1681.30
Oct-11-2011,1659.70
Oct-10-2011,1669.60
Oct-07-2011,1634.50
Oct-06-2011,1651.90
Oct-05-2011,1640.30
Oct-04-2011,1614.70
Oct-03-2011,1656.00
Sep-30-2011,1620.40
Sep-29-2011,1615.50
Sep-28-2011,1616.30
Sep-27-2011,1650.60
Sep-26-2011,1592.50
Sep-23-2011,1637.50
Sep-22-2011,1739.20
Sep-21-2011,1805.50
Sep-20-2011,1806.60
Sep-19-2011,1776.40
Sep-16-2011,1812.10
Sep-15-2011,1778.50
Sep-14-2011,1823.50
Sep-13-2011,1826.80
Sep-12-2011,1809.90
Sep-09-2011,1856.40
Sep-08-2011,1854.40
Sep-07-2011,1814.20
Sep-06-2011,1869.90
Sep-02-2011,1873.70
Sep-01-2011,1826.00
Aug-31-2011,1828.50
Aug-30-2011,1826.70
Aug-29-2011,1788.40
Aug-26-2011,1794.10
Aug-25-2011,1759.80
Aug-24-2011,1754.10
Aug-23-2011,1858.30
Aug-22-2011,1888.70
Aug-19-2011,1848.90
Aug-18-2011,1818.90
Aug-17-2011,1791.20
Aug-16-2011,1782.40
Aug-15-2011,1755.50
Aug-12-2011,1740.20
Aug-11-2011,1748.80
Aug-10-2011,1781.30
Aug-09-2011,1740.00
Aug-08-2011,1710.20
Aug-05-2011,1648.80
Aug-04-2011,1656.20
Aug-03-2011,1663.40
Aug-02-2011,1641.90
Aug-01-2011,1619.00
Jul-29-2011,1628.30
Jul-28-2011,1613.40
Jul-27-2011,1615.00
Jul-26-2011,1616.60
Jul-25-2011,1612.00
Jul-22-2011,1601.30
Jul-21-2011,1586.80
Jul-20-2011,1596.70
Jul-19-2011,1600.90
Jul-18-2011,1602.10
Jul-15-2011,1589.80
Jul-14-2011,1589.00
Jul-13-2011,1585.20
Jul-12-2011,1561.90
Jul-11-2011,1548.80
Jul-08-2011,1541.20
Jul-07-2011,1530.20
Jul-06-2011,1528.70
Jul-05-2011,1512.30
Jul-01-2011,1482.30
Jun-30-2011,1502.30
Jun-29-2011,1509.90
Jun-28-2011,1499.70
Jun-27-2011,1496.00
Jun-24-2011,1500.50
Jun-23-2011,1520.10
Jun-22-2011,1552.90
Jun-21-2011,1546.00
Jun-20-2011,1541.50
Jun-17-2011,1538.60
Jun-16-2011,1529.30
Jun-15-2011,1525.60
Jun-14-2011,1523.80
Jun-13-2011,1515.00
Jun-10-2011,1528.60
Jun-09-2011,1542.10
Jun-08-2011,1538.10
Jun-07-2011,1543.30
Jun-06-2011,1546.50
Jun-03-2011,1541.70
Jun-02-2011,1532.00
Jun-01-2011,1542.40
May-31-2011,1535.90
May-27-2011,1536.30
May-26-2011,1522.80
May-25-2011,1526.60
May-24-2011,1523.20
May-23-2011,1515.30
May-20-2011,1508.80
May-19-2011,1492.20
May-18-2011,1495.60
May-17-2011,1479.80
May-16-2011,1490.40
May-13-2011,1493.40
May-12-2011,1506.60
May-11-2011,1501.10
May-10-2011,1516.60
May-09-2011,1502.90
May-06-2011,1491.20
May-05-2011,1480.90
May-04-2011,1514.90
May-03-2011,1540.10
May-02-2011,1556.70
Apr-29-2011,1556.00
Apr-28-2011,1530.80
Apr-27-2011,1516.70
Apr-26-2011,1503.00
Apr-25-2011,1508.60
Apr-21-2011,1503.20
Apr-20-2011,1498.30
Apr-19-2011,1494.50
Apr-18-2011,1492.30
Apr-15-2011,1485.30
Apr-14-2011,1471.70
Apr-13-2011,1454.90
Apr-12-2011,1452.90
Apr-11-2011,1467.40
Apr-08-2011,1473.40
Apr-07-2011,1458.50
Apr-06-2011,1457.70
Apr-05-2011,1451.80
Apr-04-2011,1432.20
Apr-01-2011,1428.10
Mar-31-2011,1438.90
Mar-30-2011,1423.80
Mar-29-2011,1416.00
Mar-28-2011,1419.80
Mar-25-2011,1426.10
Mar-24-2011,1434.80
Mar-23-2011,1437.90
Mar-22-2011,1427.50
Mar-21-2011,1426.20
Mar-18-2011,1415.90
Mar-17-2011,1404.00
Mar-16-2011,1396.00
Mar-15-2011,1392.60
Mar-14-2011,1424.60
Mar-11-2011,1421.50
Mar-10-2011,1412.20
Mar-09-2011,1429.30
Mar-08-2011,1426.90
Mar-07-2011,1434.10
Mar-04-2011,1428.20
Mar-03-2011,1416.00
Mar-02-2011,1437.20
Mar-01-2011,1430.70
Feb-28-2011,1409.30
Feb-25-2011,1408.70
Feb-24-2011,1415.30
Feb-23-2011,1413.40
Feb-22-2011,1400.50
Feb-18-2011,1388.20
Feb-17-2011,1384.70
Feb-16-2011,1374.70
Feb-15-2011,1373.60
Feb-14-2011,1364.60
Feb-11-2011,1359.90
Feb-10-2011,1361.90
Feb-09-2011,1364.80
Feb-08-2011,1363.40
Feb-07-2011,1347.60
Feb-04-2011,1348.30
Feb-03-2011,1352.30
Feb-02-2011,1331.50
Feb-01-2011,1339.60
Jan-31-2011,1333.80
Jan-28-2011,1340.70
Jan-27-2011,1318.40
Jan-26-2011,1333.00
Jan-25-2011,1332.30
Jan-24-2011,1344.50
Jan-21-2011,1341.00
Jan-20-2011,1346.50
Jan-19-2011,1370.20
Jan-18-2011,1368.10
Jan-14-2011,1360.40
Jan-13-2011,1386.90
Jan-12-2011,1385.70
Jan-11-2011,1384.00
Jan-10-2011,1373.70
Jan-07-2011,1368.50
Jan-06-2011,1371.40
Jan-05-2011,1373.40
Jan-04-2011,1378.50
Jan-03-2011,1422.60
Dec-31-2010,1421.10
Dec-30-2010,1405.60
Dec-29-2010,1413.10
Dec-28-2010,1405.20
Dec-27-2010,1382.40
Dec-23-2010,1380.00
Dec-22-2010,1386.80
Dec-21-2010,1388.20
Dec-20-2010,1385.50
Dec-17-2010,1378.60
Dec-16-2010,1370.40
Dec-15-2010,1385.50
Dec-14-2010,1403.60
Dec-13-2010,1397.30
Dec-10-2010,1384.30
Dec-09-2010,1392.10
Dec-08-2010,1382.50
Dec-07-2010,1408.30
Dec-06-2010,1415.30
Dec-03-2010,1405.40
Dec-02-2010,1388.50
Dec-01-2010,1387.30
Nov-30-2010,1385.00
Nov-29-2010,1366.00
Nov-26-2010,1362.30
Nov-24-2010,1372.90
Nov-23-2010,1377.50
Nov-22-2010,1357.70
Nov-19-2010,1352.20
Nov-18-2010,1352.90
Nov-17-2010,1336.80
Nov-16-2010,1338.30
Nov-15-2010,1368.40
Nov-12-2010,1365.40
Nov-11-2010,1403.10
Nov-10-2010,1399.10
Nov-09-2010,1409.80
Nov-08-2010,1402.80
Nov-05-2010,1397.30
Nov-04-2010,1382.70
Nov-03-2010,1337.10
Nov-02-2010,1356.40
Nov-01-2010,1350.20
Oct-29-2010,1357.10
Oct-28-2010,1342.10
Oct-27-2010,1322.20
Oct-26-2010,1338.00
Oct-25-2010,1338.30
Oct-22-2010,1324.40
Oct-21-2010,1324.70
Oct-20-2010,1343.30
Oct-19-2010,1335.10
Oct-18-2010,1371.20
Oct-15-2010,1371.10
Oct-14-2010,1376.70
Oct-13-2010,1369.50
Oct-12-2010,1345.70
Oct-11-2010,1353.30
Oct-08-2010,1344.20
Oct-07-2010,1333.90
Oct-06-2010,1346.40
Oct-05-2010,1338.90
Oct-04-2010,1315.40
Oct-01-2010,1316.10
Sep-30-2010,1307.80
Sep-29-2010,1308.50
Sep-28-2010,1306.60
Sep-27-2010,1296.70
Sep-24-2010,1296.00
Sep-23-2010,1294.30
Sep-22-2010,1290.20
